2015 Geography Name;tate;2010 Census Total Population;2010 Census Urban Population;2010 Census Rural Population
Decatur County;Indiana;25740;11893;13847
DeKalb County;Indiana;42223;24363;17860
Delaware County;Indiana;117671;90828;26843
Dubois County;Indiana;41889;21260;20629
Elkhart County;Indiana;197559;156887;40672
Fayette County;Indiana;24277;15347;8930
Floyd County;Indiana;74578;59418;15160
Fountain County;Indiana;17240;5870;11370
Franklin County;Indiana;23087;2572;20515
Fulton County;Indiana;20836;7309;13527
Gibson County;Indiana;33503;15539;17964
Grant County;Indiana;70063;49804;20257
Greene County;Indiana;33165;8343;24822
Hamilton County;Indiana;274569;259096;15473
Hancock County;Indiana;70002;48689;21313
Harrison County;Indiana;39364;5571;33793
Hendricks County;Indiana;145448;119490;25958
Henry County;Indiana;49462;28265;21197
Howard County;Indiana;82752;64931;17821
Huntington County;Indiana;37124;18207;18917
Jackson County;Indiana;42376;23844;18532
Jasper County;Indiana;33478;10700;22778
Jay County;Indiana;21253;9425;11828
Jefferson County;Indiana;32428;17804;14624
Jennings County;Indiana;28525;11354;17171
Johnson County;Indiana;139654;120247;19407
Knox County;Indiana;38440;24519;13921
Kosciusko County;Indiana;77358;41311;36047
LaGrange County;Indiana;37128;3113;34015
Lake County;Indiana;496005;476323;19682
LaPorte County;Indiana;111467;71754;39713
Lawrence County;Indiana;46134;19170;26964
Madison County;Indiana;131636;101243;30393
Marion County;Indiana;903393;897971;5422
Marshall County;Indiana;47051;17246;29805
Martin County;Indiana;10334;2864;7470
Miami County;Indiana;36903;19748;17155
Monroe County;Indiana;137974;108657;29317
Montgomery County;Indiana;38124;18012;20112
Morgan County;Indiana;68894;35041;33853
Newton County;Indiana;14244;0;14244
Noble County;Indiana;47536;15188;32348
Ohio County;Indiana;6128;0;6128
Orange County;Indiana;19840;3282;16558
Owen County;Indiana;21575;0;21575
Parke County;Indiana;17339;4339;13000
Perry County;Indiana;19338;8694;10644
Pike County;Indiana;12845;0;12845
Porter County;Indiana;164343;130237;34106
Posey County;Indiana;25910;8612;17298
Pulaski County;Indiana;13402;2554;10848
Putnam County;Indiana;37963;13362;24601
Randolph County;Indiana;26171;9980;16191
Ripley County;Indiana;28818;4829;23989
Rush County;Indiana;17392;6755;10637
Saint Joseph County;Indiana;266931;242903;24028
Scott County;Indiana;24181;11434;12747
Shelby County;Indiana;44436;21308;23128
Spencer County;Indiana;20952;0;20952
Starke County;Indiana;23363;4116;19247
Steuben County;Indiana;34185;11196;22989
Sullivan County;Indiana;21475;4518;16957
Switzerland County;Indiana;10613;0;10613
Tippecanoe County;Indiana;172780;147725;25055
Tipton County;Indiana;15936;6119;9817
Union County;Indiana;7516;0;7516
Vanderburgh County;Indiana;179703;163229;16474
Vermillion County;Indiana;16212;6425;9787
Vigo County;Indiana;107848;82225;25623
Wabash County;Indiana;32888;16449;16439
Warren County;Indiana;8508;1948;6560
Warrick County;Indiana;59689;42196;17493
Washington County;Indiana;28262;6544;21718
Wayne County;Indiana;68917;46140;22777
Wells County;Indiana;27636;13663;13973
White County;Indiana;24643;7894;16749
Whitley County;Indiana;33292;9600;23692
Adair County;Iowa;7682;0;7682
Adams County;Iowa;4029;0;4029
Allamakee County;Iowa;14330;3731;10599
Appanoose County;Iowa;12887;5380;7507
Audubon County;Iowa;6119;0;6119
Benton County;Iowa;26076;5044;21032
Black Hawk County;Iowa;131090;113418;17672
Boone County;Iowa;26306;12986;13320
Bremer County;Iowa;24276;8621;15655
Buchanan County;Iowa;20958;6594;14364
Buena Vista County;Iowa;20260;11364;8896
Butler County;Iowa;14867;0;14867
Calhoun County;Iowa;9670;0;9670
Carroll County;Iowa;20816;9984;10832
Cass County;Iowa;13956;6471;7485
Cedar County;Iowa;18499;3067;15432
Cerro Gordo County;Iowa;44151;35059;9092
Cherokee County;Iowa;12072;4662;7410
Chickasaw County;Iowa;12439;3292;9147
Clarke County;Iowa;9286;4819;4467
Clay County;Iowa;16667;10952;5715
Clayton County;Iowa;18129;617;17512
Clinton County;Iowa;49116;33284;15832
Crawford County;Iowa;17096;8240;8856
Dallas County;Iowa;66135;45907;20228
Davis County;Iowa;8753;0;8753
Decatur County;Iowa;8457;0;8457
Delaware County;Iowa;17764;5068;12696
Des Moines County;Iowa;40325;29544;10781
Dickinson County;Iowa;16667;10826;5841
Dubuque County;Iowa;93653;68351;25302
Emmet County;Iowa;10302;6192;4110
Fayette County;Iowa;20880;6143;14737
Floyd County;Iowa;16303;7706;8597
Franklin County;Iowa;10680;4246;6434
Fremont County;Iowa;7441;0;7441
Greene County;Iowa;9336;3906;5430
Grundy County;Iowa;12453;0;12453
Guthrie County;Iowa;10954;0;10954
Hamilton County;Iowa;15673;7761;7912
Hancock County;Iowa;11341;3400;7941
Hardin County;Iowa;17534;5070;12464
Harrison County;Iowa;14928;2819;12109
Henry County;Iowa;20145;8636;11509
Howard County;Iowa;9566;3540;6026
Humboldt County;Iowa;9815;5243;4572
Ida County;Iowa;7089;0;7089
Iowa County;Iowa;16355;2914;13441
Jackson County;Iowa;19848;9275;10573
Jasper County;Iowa;36842;15655;21187
Jefferson County;Iowa;16843;10320;6523
Johnson County;Iowa;130882;106621;24261
Jones County;Iowa;20638;8677;11961
Keokuk County;Iowa;10511;0;10511
Kossuth County;Iowa;15543;5340;10203
Lee County;Iowa;35862;21296;14566
Linn County;Iowa;211226;184299;26927
Louisa County;Iowa;11387;0;11387
Lucas County;Iowa;8898;3893;5005
Lyon County;Iowa;11581;0;11581
Madison County;Iowa;15679;5043;10636
Mahaska County;Iowa;22381;12545;9836
Marion County;Iowa;33309;17091;16218
Marshall County;Iowa;40648;26858;13790
Mills County;Iowa;15059;6088;8971
Mitchell County;Iowa;10776;3535;7241
Monona County;Iowa;9243;2662;6581
Monroe County;Iowa;7970;3573;4397
Montgomery County;Iowa;10740;5597;5143
Muscatine County;Iowa;42745;31823;10922
O'Brien County;Iowa;14398;4856;9542
Osceola County;Iowa;6462;2690;3772
Page County;Iowa;15932;10618;5314
Palo Alto County;Iowa;9421;3628;5793
Plymouth County;Iowa;24986;9260;15726
Pocahontas County;Iowa;7310;0;7310
Polk County;Iowa;430640;409501;21139
Pottawattamie County;Iowa;93158;68546;24612
Poweshiek County;Iowa;18914;9080;9834
Ringgold County;Iowa;5131;0;5131
Sac County;Iowa;10350;0;10350
Scott County;Iowa;165224;142901;22323
Shelby County;Iowa;12167;4934;7233
Sioux County;Iowa;33704;16574;17130
Story County;Iowa;89542;74378;15164
Tama County;Iowa;17767;4904;12863
Taylor County;Iowa;6317;0;6317
Union County;Iowa;12534;7617;4917
Van Buren County;Iowa;7570;0;7570
Wapello County;Iowa;35625;24771;10854
Warren County;Iowa;46225;26831;19394
Washington County;Iowa;21704;6628;15076
Wayne County;Iowa;6403;0;6403
Webster County;Iowa;38013;25122;12891
Winnebago County;Iowa;10866;3681;7185
Winneshiek County;Iowa;21056;8637;12419
Woodbury County;Iowa;102172;84336;17836
Worth County;Iowa;7598;0;7598
Wright County;Iowa;13229;5715;7514
Allen County;Kansas;13371;5729;7642
Anderson County;Kansas;8102;3336;4766
Atchison County;Kansas;16924;11144;5780
Barber County;Kansas;4861;0;4861
Barton County;Kansas;27674;18886;8788
Bourbon County;Kansas;15173;7895;7278
Brown County;Kansas;9984;3151;6833
Butler County;Kansas;65880;39216;26664
Chase County;Kansas;2790;0;2790
Chautauqua County;Kansas;3669;0;3669
Cherokee County;Kansas;21603;11004;10599
Cheyenne County;Kansas;2726;0;2726
Clark County;Kansas;2215;0;2215
Clay County;Kansas;8535;4307;4228
Cloud County;Kansas;9533;5340;4193
Coffey County;Kansas;8601;2503;6098
Comanche County;Kansas;1891;0;1891
Cowley County;Kansas;36311;25055;11256
Crawford County;Kansas;39134;25465;13669
Decatur County;Kansas;2961;0;2961
Dickinson County;Kansas;19754;7054;12700
Doniphan County;Kansas;7945;2368;5577
Douglas County;Kansas;110826;98621;12205
Edwards County;Kansas;3037;0;3037
Elk County;Kansas;2882;0;2882
Ellis County;Kansas;28452;21180;7272
Ellsworth County;Kansas;6497;2982;3515
Finney County;Kansas;36776;29942;6834
Ford County;Kansas;33848;27316;6532
Franklin County;Kansas;25992;12450;13542
Geary County;Kansas;34362;30351;4011
Gove County;Kansas;2695;0;2695
Graham County;Kansas;2597;0;2597
Grant County;Kansas;7829;6279;1550
Gray County;Kansas;6006;0;6006
Greeley County;Kansas;1247;0;1247
Greenwood County;Kansas;6689;2591;4098
Hamilton County;Kansas;2690;0;2690
Harper County;Kansas;6034;0;6034
Harvey County;Kansas;34684;23960;10724
Haskell County;Kansas;4256;0;4256
Hodgeman County;Kansas;1916;0;1916
Jackson County;Kansas;13462;3245;10217
Jefferson County;Kansas;19126;226;18900
Jewell County;Kansas;3077;0;3077
Johnson County;Kansas;544179;523317;20862
Kearny County;Kansas;3977;0;3977
Kingman County;Kansas;7858;2978;4880
Kiowa County;Kansas;2553;0;2553
Labette County;Kansas;21607;10298;11309
Lane County;Kansas;1750;0;1750
Leavenworth County;Kansas;76227;54073;22154
Lincoln County;Kansas;3241;0;3241
Linn County;Kansas;9656;0;9656
Logan County;Kansas;2756;0;2756
Lyon County;Kansas;33690;24830;8860
McPherson County;Kansas;29180;16488;12692
Marion County;Kansas;12660;2815;9845
Marshall County;Kansas;10117;2937;7180
Meade County;Kansas;4575;0;4575
Miami County;Kansas;32787;16082;16705
Mitchell County;Kansas;6373;3295;3078
Montgomery County;Kansas;35471;20068;15403
Morris County;Kansas;5923;0;5923
Morton County;Kansas;3233;0;3233
Nemaha County;Kansas;10178;2520;7658
Neosho County;Kansas;16512;9059;7453
Ness County;Kansas;3107;0;3107
Norton County;Kansas;5671;2893;2778
Osage County;Kansas;16295;2683;13612
Osborne County;Kansas;3858;0;3858
Ottawa County;Kansas;6091;0;6091
Pawnee County;Kansas;6973;4764;2209
Phillips County;Kansas;5642;2609;3033
Pottawatomie County;Kansas;21604;8876;12728
Pratt County;Kansas;9656;6546;3110
Rawlins County;Kansas;2519;0;2519
Reno County;Kansas;64511;44320;20191
Republic County;Kansas;4980;0;4980
Rice County;Kansas;10083;3652;6431
Riley County;Kansas;71115;61269;9846
Rooks County;Kansas;5181;0;5181
Rush County;Kansas;3307;0;3307
Russell County;Kansas;6970;4108;2862
Saline County;Kansas;55606;47493;8113
Scott County;Kansas;4936;3647;1289
Sedgwick County;Kansas;498365;460197;38168
Seward County;Kansas;22952;20329;2623
Shawnee County;Kansas;177934;149777;28157
Sheridan County;Kansas;2556;0;2556
Sherman County;Kansas;6010;4553;1457
Smith County;Kansas;3853;0;3853
Stafford County;Kansas;4437;0;4437
Stanton County;Kansas;2235;0;2235
Stevens County;Kansas;5724;3936;1788
Sumner County;Kansas;24132;8964;15168
Thomas County;Kansas;7900;5463;2437
Trego County;Kansas;3001;0;3001
Wabaunsee County;Kansas;7053;0;7053
Wallace County;Kansas;1485;0;1485
Washington County;Kansas;5799;0;5799
Wichita County;Kansas;2234;0;2234
Wilson County;Kansas;9409;2570;6839
Woodson County;Kansas;3309;0;3309
Wyandotte County;Kansas;157505;147956;9549
Adair County;Kentucky;18656;4579;14077
Allen County;Kentucky;19956;4251;15705
Anderson County;Kentucky;21421;12489;8932
Ballard County;Kentucky;8249;0;8249
Barren County;Kentucky;42173;15488;26685
Bath County;Kentucky;11591;0;11591
Bell County;Kentucky;28691;10765;17926
Boone County;Kentucky;118811;103042;15769
Bourbon County;Kentucky;19985;11042;8943
Boyd County;Kentucky;49542;36999;12543
Boyle County;Kentucky;28432;18532;9900
Bracken County;Kentucky;8488;0;8488
Breathitt County;Kentucky;13878;2567;11311
Breckinridge County;Kentucky;20059;0;20059
Bullitt County;Kentucky;74319;51716;22603
Butler County;Kentucky;12690;0;12690
Caldwell County;Kentucky;12984;5890;7094
Calloway County;Kentucky;37191;19072;18119
Campbell County;Kentucky;90336;76518;13818
Carlisle County;Kentucky;5104;0;5104
Carroll County;Kentucky;10811;5165;5646
Carter County;Kentucky;27720;5716;22004
Casey County;Kentucky;15955;0;15955
Christian County;Kentucky;73955;52837;21118
Clark County;Kentucky;35613;25831;9782
Clay County;Kentucky;21730;4657;17073
Clinton County;Kentucky;10272;0;10272
Crittenden County;Kentucky;9315;2718;6597
Cumberland County;Kentucky;6856;0;6856
Daviess County;Kentucky;96656;70543;26113
Edmonson County;Kentucky;12161;0;12161
Elliott County;Kentucky;7852;0;7852
Estill County;Kentucky;14672;3503;11169
Fayette County;Kentucky;295803;286731;9072
Fleming County;Kentucky;14348;2795;11553
Floyd County;Kentucky;39451;6363;33088
Franklin County;Kentucky;49285;35705;13580
Fulton County;Kentucky;6813;2423;4390
Gallatin County;Kentucky;8589;0;8589
Garrard County;Kentucky;16912;3739;13173
Grant County;Kentucky;24662;8634;16028
Graves County;Kentucky;37121;11356;25765
Grayson County;Kentucky;25746;6802;18944
Green County;Kentucky;11258;0;11258
Greenup County;Kentucky;36910;22409;14501
Hancock County;Kentucky;8565;916;7649
Hardin County;Kentucky;105543;69434;36109
Harlan County;Kentucky;29278;13422;15856
Harrison County;Kentucky;18846;6421;12425
Hart County;Kentucky;18199;2332;15867
Henderson County;Kentucky;46250;28583;17667
Henry County;Kentucky;15416;0;15416
Hickman County;Kentucky;4902;0;4902
Hopkins County;Kentucky;46920;24809;22111
Jackson County;Kentucky;13494;0;13494
Jefferson County;Kentucky;741096;730920;10176
Jessamine County;Kentucky;48586;36003;12583
Johnson County;Kentucky;23356;6302;17054
Kenton County;Kentucky;159720;148578;11142
Knott County;Kentucky;16346;0;16346
Knox County;Kentucky;31883;11821;20062
Larue County;Kentucky;14193;3413;10780
Laurel County;Kentucky;58849;25398;33451
Lawrence County;Kentucky;15860;3631;12229
Lee County;Kentucky;7887;0;7887
Leslie County;Kentucky;11310;0;11310
Letcher County;Kentucky;24519;0;24519
Lewis County;Kentucky;13870;0;13870
Lincoln County;Kentucky;24742;4538;20204
Livingston County;Kentucky;9519;440;9079
Logan County;Kentucky;26835;6714;20121
Lyon County;Kentucky;8314;0;8314
McCracken County;Kentucky;65565;47322;18243
McCreary County;Kentucky;18306;0;18306
McLean County;Kentucky;9531;0;9531
Madison County;Kentucky;82916;50979;31937
Magoffin County;Kentucky;13333;0;13333
Marion County;Kentucky;19820;5646;14174
Marshall County;Kentucky;31448;4447;27001
Martin County;Kentucky;12929;0;12929
Mason County;Kentucky;17490;7801;9689
Meade County;Kentucky;28602;4033;24569
Menifee County;Kentucky;6306;0;6306
Mercer County;Kentucky;21331;8715;12616
Metcalfe County;Kentucky;10099;0;10099
Monroe County;Kentucky;10963;0;10963
Montgomery County;Kentucky;26499;10835;15664
Morgan County;Kentucky;13923;0;13923
Muhlenberg County;Kentucky;31499;9943;21556
Nelson County;Kentucky;43437;18702;24735
Nicholas County;Kentucky;7135;0;7135
Ohio County;Kentucky;23842;6321;17521
Oldham County;Kentucky;60316;48055;12261
Owen County;Kentucky;10841;0;10841
Owsley County;Kentucky;4755;0;4755
Pendleton County;Kentucky;14877;0;14877
Perry County;Kentucky;28712;7444;21268
Pike County;Kentucky;65024;7934;57090
Powell County;Kentucky;12613;4149;8464
Pulaski County;Kentucky;63063;29042;34021
Robertson County;Kentucky;2282;0;2282
Rockcastle County;Kentucky;17056;2777;14279
Rowan County;Kentucky;23333;7282;16051
Russell County;Kentucky;17565;0;17565
Scott County;Kentucky;47173;31859;15314
Shelby County;Kentucky;42074;22296;19778
Simpson County;Kentucky;17327;9492;7835
Spencer County;Kentucky;17061;0;17061
Taylor County;Kentucky;24512;11719;12793
Todd County;Kentucky;12460;0;12460
Trigg County;Kentucky;14339;2960;11379
Trimble County;Kentucky;8809;467;8342
Union County;Kentucky;15007;5210;9797
Warren County;Kentucky;113792;78306;35486
Washington County;Kentucky;11717;0;11717
Wayne County;Kentucky;20813;6716;14097
Webster County;Kentucky;13621;0;13621
Whitley County;Kentucky;35637;12417;23220
Wolfe County;Kentucky;7355;0;7355
Woodford County;Kentucky;24939;15922;9017
Acadia;Louisiana;61773;29837;31936
Allen;Louisiana;25764;7878;17886
Ascension;Louisiana;107215;93045;14170
Assumption;Louisiana;23421;12883;10538
Avoyelles;Louisiana;42073;15238;26835
Beauregard;Louisiana;35654;11946;23708
Bienville;Louisiana;14353;2894;11459
Bossier;Louisiana;116979;88504;28475
Caddo;Louisiana;254969;218164;36805
Calcasieu;Louisiana;192768;153250;39518
Caldwell;Louisiana;10132;0;10132
Cameron;Louisiana;6839;0;6839
Catahoula;Louisiana;10407;0;10407
Claiborne;Louisiana;17195;3034;14161
Concordia;Louisiana;20822;13856;6966
De Soto;Louisiana;26656;6061;20595
East Baton Rouge;Louisiana;440171;409905;30266
East Carroll;Louisiana;7759;5076;2683
East Feliciana;Louisiana;20267;0;20267
Evangeline;Louisiana;33984;13222;20762
Franklin;Louisiana;20767;5361;15406
Grant;Louisiana;22309;3214;19095
Iberia;Louisiana;73240;52633;20607
Iberville;Louisiana;33387;13617;19770
Jackson;Louisiana;16274;5609;10665
Jefferson;Louisiana;432552;427610;4942
Jefferson Davis;Louisiana;31594;15576;16018
Lafayette;Louisiana;221578;203146;18432
Lafourche;Louisiana;96318;72993;23325
La Salle;Louisiana;14890;3992;10898
Lincoln;Louisiana;46735;27724;19011
Livingston;Louisiana;128026;75386;52640
Madison;Louisiana;12093;9379;2714
Morehouse;Louisiana;27979;13979;14000
Natchitoches;Louisiana;39566;19763;19803
Orleans;Louisiana;343829;341794;2035
Ouachita;Louisiana;153720;116533;37187
Plaquemines;Louisiana;23042;18540;4502
Pointe Coupee;Louisiana;22802;9620;13182
Rapides;Louisiana;131613;79590;52023
Red River;Louisiana;9091;0;9091
Richland;Louisiana;20725;7037;13688
Sabine;Louisiana;24233;2860;21373
Saint Bernard;Louisiana;35897;34370;1527
Saint Charles;Louisiana;52780;46716;6064
Saint Helena;Louisiana;11203;0;11203
Saint James;Louisiana;22102;15979;6123
Saint John the Baptist;Louisiana;45924;39749;6175
Saint Landry;Louisiana;83384;43216;40168
Saint Martin;Louisiana;52160;26304;25856
Saint Mary;Louisiana;54650;47524;7126
Saint Tammany;Louisiana;233740;179470;54270
Tangipahoa;Louisiana;121097;71533;49564
Tensas;Louisiana;5252;0;5252
Terrebonne;Louisiana;111860;88785;23075
Union;Louisiana;22721;3883;18838
Vermilion;Louisiana;57999;26319;31680
Vernon;Louisiana;52334;26221;26113
Washington;Louisiana;47168;15719;31449
Webster;Louisiana;41207;19350;21857
West Baton Rouge;Louisiana;23788;16542;7246
West Carroll;Louisiana;11604;0;11604
West Feliciana;Louisiana;15625;0;15625
Winn;Louisiana;15313;5376;9937
Androscoggin County;Maine;107702;60995;46707
Aroostook County;Maine;71870;14183;57687
Cumberland County;Maine;281674;179994;101680
Franklin County;Maine;30768;5231;25537
Hancock County;Maine;54418;5380;49038
Kennebec County;Maine;122151;45403;76748
Knox County;Maine;39736;12743;26993
Lincoln County;Maine;34457;0;34457
Oxford County;Maine;57833;9767;48066
Penobscot County;Maine;153923;65186;88737
Piscataquis County;Maine;17535;0;17535
Sagadahoc County;Maine;35293;13526;21767
Somerset County;Maine;52228;10197;42031
Waldo County;Maine;38786;3358;35428
Washington County;Maine;32856;2504;30352
York County;Maine;197131;85075;112056
Allegany County;Maryland;75087;54624;20463
Anne Arundel County;Maryland;537656;509138;28518
Baltimore County;Maryland;804990;752430;52599
Calvert County;Maryland;88737;54387;34350
Caroline County;Maryland;33066;7936;25130
Carroll County;Maryland;167134;101106;66028
Cecil County;Maryland;101108;58539;42569
Charles County;Maryland;146551;103313;43238
Dorchester County;Maryland;32618;14280;18338
Frederick County;Maryland;233385;174554;58831
Garrett County;Maryland;30097;4846;25251
Harford County;Maryland;244826;201352;43474
Howard County;Maryland;287085;260525;26560
Kent County;Maryland;20197;5537;14660
Montgomery County;Maryland;971777;948612;23165
Prince George's County;Maryland;863420;846439;16981
Queen Anne's County;Maryland;47798;21754;26044
Saint Mary's County;Maryland;105151;52136;53015
Somerset County;Maryland;26470;14349;12121
Talbot County;Maryland;37782;17132;20650
Washington County;Maryland;147430;103953;43477
Wicomico County;Maryland;98733;73254;25479
Worcester County;Maryland;51454;33174;18280
Baltimore City;Maryland;621074;620961;0
Barnstable County;Massachusetts;215888;199733;16155
Berkshire County;Massachusetts;131219;89762;41457
Bristol County;Massachusetts;548285;494365;53920
Dukes County;Massachusetts;16535;10082;6453
Essex County;Massachusetts;743159;711619;31540
Franklin County;Massachusetts;71372;32523;38849
Hampden County;Massachusetts;463490;423765;39725
Hampshire County;Massachusetts;158080;114697;43383
Middlesex County;Massachusetts;1503085;1457576;45509
Nantucket County;Massachusetts;10172;8250;1922
Norfolk County;Massachusetts;670784;662529;8321
Plymouth County;Massachusetts;494919;443904;51015
Suffolk County;Massachusetts;722089;721488;535
Worcester County;Massachusetts;798552;651696;146856
Alcona County;Michigan;10942;118;10824
Alger County;Michigan;9601;2972;6629
Allegan County;Michigan;111408;39586;71822
Alpena County;Michigan;29598;14258;15340
Antrim County;Michigan;23580;0;23580
Arenac County;Michigan;15899;0;15899
Baraga County;Michigan;8860;0;8860
Barry County;Michigan;59173;13534;45639
Bay County;Michigan;107771;75104;32667
Benzie County;Michigan;17525;0;17525
Berrien County;Michigan;156813;105289;51524
Branch County;Michigan;45248;16876;28372
Calhoun County;Michigan;136146;93972;42174
Cass County;Michigan;52293;15070;37223
Charlevoix County;Michigan;25949;7680;18269
Cheboygan County;Michigan;26152;4517;21635
Chippewa County;Michigan;38520;19669;18851
Clare County;Michigan;30926;9079;21847
Clinton County;Michigan;75382;35485;39897
Crawford County;Michigan;14074;3858;10216
Delta County;Michigan;37069;20850;16219
Dickinson County;Michigan;26168;17594;8574
Eaton County;Michigan;107759;66841;40918
Emmet County;Michigan;32694;8210;24484
Genesee County;Michigan;425790;354448;71342
Gladwin County;Michigan;25692;2934;22758
Gogebic County;Michigan;16427;5229;11198
Grand Traverse County;Michigan;86986;45212;41774
Gratiot County;Michigan;42476;16924;25552
Hillsdale County;Michigan;46688;14414;32274
Houghton County;Michigan;36628;22777;13851
Huron County;Michigan;33118;3490;29628
Ingham County;Michigan;280895;243799;37096
Ionia County;Michigan;63905;25218;38687
Iosco County;Michigan;25887;10638;15249
Iron County;Michigan;11817;3208;8609
Isabella County;Michigan;70311;37554;32757
Jackson County;Michigan;160248;93227;67021
Kalamazoo County;Michigan;250331;206405;43926
Kalkaska County;Michigan;17153;2668;14485
Kent County;Michigan;602622;508159;94463
Keweenaw County;Michigan;2156;0;2156
Lake County;Michigan;11539;0;11539
Lapeer County;Michigan;88319;20006;68313
Leelanau County;Michigan;21708;1897;19811
Lenawee County;Michigan;99892;48126;51766
Livingston County;Michigan;180967;114181;66786
Luce County;Michigan;6631;3225;3406
Mackinac County;Michigan;11113;2531;8582
Macomb County;Michigan;840978;817386;23592
Manistee County;Michigan;24733;9606;15127
Marquette County;Michigan;67077;39247;27830
Mason County;Michigan;28705;10710;17995
Mecosta County;Michigan;42798;14241;28557
Menominee County;Michigan;24029;8570;15459
Midland County;Michigan;83629;47852;35777
Missaukee County;Michigan;14849;0;14849
Monroe County;Michigan;152021;94928;57093
Montcalm County;Michigan;63342;9743;53599
Montmorency County;Michigan;9765;0;9765
Muskegon County;Michigan;172188;132043;40145
Newaygo County;Michigan;48460;7831;40629
Oakland County;Michigan;1202362;1144809;57553
Oceana County;Michigan;26570;2686;23884
Ogemaw County;Michigan;21699;0;21699
Ontonagon County;Michigan;6780;0;6780
Osceola County;Michigan;23528;0;23528
Oscoda County;Michigan;8640;0;8640
Otsego County;Michigan;24164;8298;15866
Ottawa County;Michigan;263801;210208;53593
Presque Isle County;Michigan;13376;2560;10816
Roscommon County;Michigan;24449;8300;16149
Saginaw County;Michigan;200169;137880;62289
Saint Clair County;Michigan;163040;100032;63008
Saint Joseph County;Michigan;61295;27934;33361
Sanilac County;Michigan;43114;4226;38888
Schoolcraft County;Michigan;8485;3482;5003
Shiawassee County;Michigan;70648;31809;38839
Tuscola County;Michigan;55729;8827;46902
Van Buren County;Michigan;76258;22222;54036
Washtenaw County;Michigan;344791;288085;56706
Wayne County;Michigan;1820650;1807920;12664
Wexford County;Michigan;32735;11690;21045
Aitkin County;Minnesota;16202;0;16202
Anoka County;Minnesota;330844;286178;44666
Becker County;Minnesota;32504;7973;24531
Beltrami County;Minnesota;44442;14626;29816
Benton County;Minnesota;38451;23066;15385
Big Stone County;Minnesota;5269;0;5269
Blue Earth County;Minnesota;64013;46798;17215
Brown County;Minnesota;25893;16846;9047
Carlton County;Minnesota;35386;15865;19521
Carver County;Minnesota;91042;73901;17141
Cass County;Minnesota;28567;0;28567
Chippewa County;Minnesota;12441;6178;6263
Chisago County;Minnesota;53887;23932;29955
Clay County;Minnesota;58999;42527;16472
Clearwater County;Minnesota;8695;0;8695
Cook County;Minnesota;5176;0;5176
Cottonwood County;Minnesota;11687;4409;7278
Crow Wing County;Minnesota;62500;23290;39210
Dakota County;Minnesota;398552;378900;19652
Dodge County;Minnesota;20087;9689;10398
Douglas County;Minnesota;36009;16983;19026
Faribault County;Minnesota;14553;3257;11296
Fillmore County;Minnesota;20866;1402;19464
Freeborn County;Minnesota;31255;17868;13387
Goodhue County;Minnesota;46183;24457;21726
Grant County;Minnesota;6018;0;6018
Hennepin County;Minnesota;1152425;1126784;25641
Houston County;Minnesota;19027;8107;10920
Hubbard County;Minnesota;20428;3398;17030
Isanti County;Minnesota;37816;14270;23546
Itasca County;Minnesota;45058;9285;35773
Jackson County;Minnesota;10266;3169;7097
Kanabec County;Minnesota;16239;3670;12569
Kandiyohi County;Minnesota;42239;23432;18807
Kittson County;Minnesota;4552;0;4552
Koochiching County;Minnesota;13311;7055;6256
Lac qui Parle County;Minnesota;7259;0;7259
Lake County;Minnesota;10866;3588;7278
Lake of the Woods County;Minnesota;4045;0;4045
Le Sueur County;Minnesota;27703;10483;17220
Lincoln County;Minnesota;5896;0;5896
Lyon County;Minnesota;25857;13464;12393
McLeod County;Minnesota;36651;19588;17063
Mahnomen County;Minnesota;5413;0;5413
Marshall County;Minnesota;9439;0;9439
Martin County;Minnesota;20840;9578;11262
Meeker County;Minnesota;23300;8034;15266
Mille Lacs County;Minnesota;26097;7614;18483
Morrison County;Minnesota;33198;9024;24174
Mower County;Minnesota;39163;25103;14060
Murray County;Minnesota;8725;0;8725
Nicollet County;Minnesota;32727;24358;8369
Nobles County;Minnesota;21378;12616;8762
Norman County;Minnesota;6852;0;6852
Olmsted County;Minnesota;144248;120313;23935
Otter Tail County;Minnesota;57303;15134;42169
Pennington County;Minnesota;13930;8883;5047
Pine County;Minnesota;29750;3183;26567
Pipestone County;Minnesota;9596;4098;5498
Polk County;Minnesota;31600;16282;15318
Pope County;Minnesota;10995;0;10995
Ramsey County;Minnesota;508640;507688;952
Red Lake County;Minnesota;4089;0;4089
Redwood County;Minnesota;16059;4958;11101
Renville County;Minnesota;15730;0;15730
Rice County;Minnesota;64142;47507;16635
Rock County;Minnesota;9687;4620;5067
Roseau County;Minnesota;15629;2763;12866
Saint Louis County;Minnesota;200226;125913;74313
Scott County;Minnesota;129928;107529;22399
Sherburne County;Minnesota;88499;49389;39110
Sibley County;Minnesota;15226;0;15226
Stearns County;Minnesota;150642;95005;55637
Steele County;Minnesota;36576;25394;11182
Stevens County;Minnesota;9726;5123;4603
Swift County;Minnesota;9783;3191;6592
Todd County;Minnesota;24895;5380;19515
Traverse County;Minnesota;3558;0;3558
Wabasha County;Minnesota;21676;7686;13990
Wadena County;Minnesota;13843;4570;9273
Waseca County;Minnesota;19136;9537;9599
Washington County;Minnesota;238136;203682;34454
Watonwan County;Minnesota;11211;4585;6626
Wilkin County;Minnesota;6576;3279;3297
Winona County;Minnesota;51461;33689;17772
